AAA,Anaa
SJC,San Jose Norman Y. Mineta Intl
SJD,San Jose Cabo
SJE,San Jose del Guaviare
SJI,San Jose
SJJ,Sarajevo
SJK,Sao Jose Dos Campos
SJL,Sao Gabriel
SJN,ST JOHNS INDUSTRIAL AIR PARK
SJO,San Jose Juan Santamaria Apt
SJP,Sao Jose Do Rio Preto
SJT,San Angelo Mathis Field
SJU,San Juan Luis Munoz Marin Intl Apt
SJW,Shijiazhuang
SJY,SEINAJOKI
SJZ,Sao Jorge Island
SKA,FAIRCHILD AFB
SKB,St Kitts
SKC,  Suki
SKD,Samarkand
SKE,Skien
SKF,LACKLAND AFB (KELLY FLD ANNEX)
SKG,Thessaloniki
SKH,  Surkhet
SKK,Shaktoolik
SKN,Stokmarknes
SKO,Sokoto
SKP,Skopje
SKS,VOJENS/SKRYDSTRUP
SKT,Sialkot
SKU,Skyros
SKV,ST.CATHERINE
SKX,Saransk
SKZ,Sukkur
SLA,Salta
SLC,Salt Lake City
SLD,SLIAC
SLE,SALEM - MCNARY FIELD
SLH,Sola
SLI,Solwezi
SLK,Saranac Lake
SLL,Salalah
SLM,Salamanca
SLN,Salina
SLO,SALEM-LECKRONE AIRPORT
SLP,San Luis Potosi
SLQ,Sleetmute
SLU,St Lucia George F.L. Charles Apt
SLV,SHIMLA
SLW,Saltillo
SLX,Salt Cay
SLY,Salekhard
SLZ,Sao Luiz
SMA,Santa Maria Island
SMB,CERRO SOMBRERO/FRANCO BIANCO
SME,  Somerset
SMF,Sacramento International Apt
SMI,Samos
SMK,St Michael
SML,Stella Maris
SMN,SALMON - LEMHI COUNTY
SMO,SANTA MONICA MUNI
SMQ,Sampit
SMR,Santa Marta
SMS,Ste Marie
SMT,Sorriso
SMV,SAMEDAN
SMX,Santa Maria
SNA,Santa Ana John Wayne Apt
SNB,SNAKE BAY
SNC,SALINAS/GNRAL.ULPIANO PAEZ
SNDT,Diamantina (SNDT)
SNE,Sao Nicolau Island
SNF,SAN FELIPE
SNG,SAN IGNACIO DE VELASCO
SNH,STANTHORPE
SNN,Shannon
SNO,Sakon Nakhon
SNP,St Paul Island
SNR,St-Nazaire
SNS,SALINAS MUNI AIRPORT
SNU,Santa Clara
SNV,Santa Elena
SNW,Thandwe
SNY,SIDNEY MUNI/LLOYD W. CARR FLD
SNZ,RIO DE JANEIRO/SANTA CRUZ
SOB,SARMELLEK BALATON
SOC,Surakarta (Solo)
SOD,SOROCABA
SOF,Sofia
SOG,Sogndal
SOJ,Sorkjosen
SOM,San Tome
SON,Espiritu Santo
SOO,SODERHAMN
SOP,PINEHURST S.P.MOORE COUNTY
SOQ,Sorong
SOT,SODANKYLA
SOU,Southampton
SOV,Seldovia
SOW,Show Low
SOX,SOGAMOSO/A. LLERAS CAMARGO
SOY,Stronsay
SOZ,SOLENZARA
SPB,St Thomas SPB
SPC,Santa Cruz de la Palma
SPD,Saidpur
SPI,Springfield
SPK,CHITOSE
SPM,SPANGDAHLEM
SPN,Saipan
SPP,Menongue
SPR,San Pedro
SPS,Wichita Falls Sheppard AFB
SPU,Split
SPX,Sphinx
SPY,San Pedro
SQD,Shangrao Sanqingsha
SQG,Sintang
SQH,NASAN
SQJ,Sanming Shaxian
SQN,Emalamo
SQO,STORUMAN
SQQ,SIAULIAI
SQS,San Ignacia
SQZ,SCAMPTON
SRA,  Santa Rosa
SRC,SAN LUIS/VALLE DEL CONLARA
SRE,Sucre
SRG,Semarang
SRH,SARH
SRI,Samarinda
SRJ,  San Borja
SRK,Siorapaluk
SRM,NIZHNY NOVGOROD/SORMOVO
SRN,STRAHAN
SRP,Stord
SRQ,Sarasota/Bradenton
SRT,SOROTI
SRV,Stony River
SRX,Sirte
SRY,Sari
SRZ,Santa Cruz El Trompillo Apt
SSA,Salvador
SSB,St Croix SPB
SSC,SHAW AFB
SSE,  Sholapur
SSG,Malabo
SSH,Sharm el-Sheikh
SSI,BRUNSWICK/MC KINNON
SSJ,Sandnessjoen
SSN,SEOUL DOMESTIC
SSO,SAO LOURENCO
SSR,Sara
SST,SANTA TERESITA
SSX,Samsun
SSY,M'banza Congo
SSZ,GUARUJA/BASE AEREA
STA,STAUNING
STC,St Cloud Municipal Apt
STD,Santo Domingo
STG,St George Island
STI,Santiago
STJ,ST JOSEPH - ROSECRANS MEMORIAL
STL,St Louis Lambert Intl Apt
STM,Santarem
STN,London Stansted Apt
STP,ST. PAUL/DOWNTOWN HOLMAN FIELD
STR,Stuttgart Airport
STS,Santa Rosa
STT,St Thomas Cyril E King Apt
STV,Surat
STW,Stavropol
STX,St Croix Henry E. Rohlsen Apt
STY,Salto
STZ,Confresa Airport
SUB,Surabaya
SUF,Lamezia Terme
SUG,Surigao
SUJ,Satu Mare
SUL,  Sui
SUN,Sun Valley Friedman Memorial Apt
SUP,Trunojoyo Airport
SUR,Summer Beaver
SUS,ST. LOUIS/SPIRIT OF ST LOUIS
SUU,FAIRFIELD/TRAVIS AFB
SUV,Suva
SUX,Sioux City
SUY,Suntar
SVA,Savoonga
SVB,Sambava
SVC,Silver City
SVD,St Vincent
SVF,SAVE
SVG,Stavanger
SVI,San Vicente del Caguan
SVJ,Svolvaer
SVK,Silver Creek
SVL,Savonlinna
SVN,HUNTER AAF AIRPORT/SAVANNAH
SVO,Moscow Sheremetyevo International Apt
SVP,Kuito
SVQ,Sevilla
SVR,Savissivik
SVS,Stevens Village
SVU,Savusavu
SVX,Yekaterinburg
SVZ,San Antonio
SWA,Shantou
SWE,  Siwea
SWF,Newburgh
SWH,SWAN HILL
SWJ,South West Bay
SWL,San Vicente
SWO,Stillwater
SWOB,Fonte Boa (SWOB)
SWQ,Sultan Muhammad Kaharuddin III
SWP,SWAKOPMUND
SWS,SWANSEA
SWT,Strezhevoy
SWTP,Tapuruquara/Santa Isabel do Rio Negro (SWTP)
SWX,SHAKAWE
SWY,SITIAWAN
SXB,Strasbourg
SXE,EAST SALE
SXF,Berlin Schoenefeld Apt
SXI,Sirri Island
SXK,Saumlaki
SXL,SLIGO
SXM,St Maarten
SXN,SUA PAN
SXO,SAO FELIX DO ARAGUAIA/RONCADOR
SXP,Sheldon Point
SXR,Srinagar
SXV,  Salem
SXX,SAO FELIX DO XINGU
SXZ,SIIRT
SYA,SHEMYA/EARECKSON AFS
SYB,Seal Bay
SYD,Sydney Kingsford Smith Apt
SYJ,Sirjan
SYM,Simao
SYO,Shonai
SYQ,San Jose Tobias Bolanos Apt
SYR,Syracuse
SYT,SAINT-YAN
SYU,  Warraber Island
SYW,SEHWAN SHARIF
SYX,Sanya
SYY,Stornoway
SYZ,Shiraz
SZA,Soyo
SZB,Kuala Lumpur Sultan Abdul Aziz Shah Apt
SZD,SHEFFIELD CITY
SZE,Semera
SZF,Carsamba
SZG,Salzburg
SZI,Zaysan
SZJ,ISLA DE JUVENTUD/SIGUANEA
SZH,Shuozhou Zirun
SZK,SKUKUZA
SZT,SAN CRISTOBAL DE LAS CASAS
SZW,SCHWERIN-PARCHIM
SZX,Shenzhen
SZY,SZYMANY SZCZYTNO
SZZ,Szczecin
TAB,Tobago
TAC,Tacloban
TAE,Daegu
TAG,Tagbilaran
TAH,Tanna
TAI,Taizz
TAJ,  Aitape
TAK,Takamatsu
TAL,Tanana
TAM,Tampico
TAO,Qingdao
TAP,Tapachula
TAR,TARANTO/GROTTAGLIE
TAS,Tashkent
TAT,POPRAD/TATRY
TAY,Tartu
TAZ,DASHOGUZ
TBB,Tuyhoa
TBF,Tabiteuea North
TBG,Tabubil
TBH,Tablas
TBI,The Bight
TBJ,TABARKA
TBN,Fort Leonard Wood
TBO,Tabora
TBP,Tumbes
TBS,Tbilisi
TBT,Tabatinga
TBU,Nuku'Alofa
TBW,  Tambov
TBY,TSHABONG
TBZ,Tabriz
TCA,TENNANT CREEK
TCB,Treasure Cay
TCC,TUCUMCARI
TCD,Tarapaca
TCE,TULCEA/CATALOI
TCG,Tacheng
TCH,  Tchibanga
TCL,TUSCALOOSA REGIONAL AIRPORT
TCM,TACOMA MCCHORD AFB
TCO,Tumaco
TCP,Taba
TCQ,Tacna
TCR,Tuticorin
TCS,TRUTH OR CONSEQUENCES MUNI
TCT,Takotna
TCV,TETE CHINGODZI
TCW,TOCUMWAL
TCX,TABAS
TCZ,Tengchong
TDD,Trinidad
TDF,ROXBORO - PERSON COUNTY
TDG,TANDAG
TDK,TALDYKORGAN
TDL,TANDIL
TDX,Trat
TEB,TETERBORO
TEC,TELEMACO BORBA
TED,THISTED
TEE,Tebessa
TEF,TELFER
TEI,Tezu
TEM,TEMORA
TEN,Tongren
TEQ,Tekirdag
TER,Terceira
TET,Tete
TEU,MANAPOURI
TEX,Telluride
TEZ,  Tezpur
TFF,Tefe
TFI,Tufi
TFL,TEOFILO OTONI/J.KUBITSCHECK
TFN,Tenerife Norte
TFR,ORAN/TAFARAOUI
TFS,Tenerife Sur Apt
TFU,Chengdu Tianfu
TGA,TENGAH
TGC,Tanjung Manis
TGD,Podgorica
TGG,Kuala Terengganu
TGH,Tongoa
TGI,TINGO MARIA
TGJ,Tiga
TGK,  Taganrog
TGM,Tirgu Mures
TGO,Tongliao
TGP,Bor
TGR,Touggourt
TGT,TANGA
TGU,Tegucigalpa
TGZ,Tuxtla Gutierrez
THD,Thanh Hoe
THE,Teresina
THF,BERLIN-TEMPELHOF
THG,THANGOOL
THK,THAKHEK
THL,Tachilek
THN,Trollhattan/Vanersborg
THO,THORSHOFN
THQ,Tianshui
THR,Tehran Mehrabad International Airport
THS,Sukhothai
THU,Pituffik
THX,Turukhansk
THZ,TAHOUA
TIA,Tirana
TIB,Tibu
TID,Tiaret
TIF,Taif
TIH,Tikehau
TII,Tarin Kot
TIJ,Tijuana
TIK,TINKER AFB
TIM,Tembagapura/Timika
TIN,Tindouf
TIP,Tripoli
TIQ,TINIAN INTL
TIR,Tirupati
TIS,  Thursday Island
TIU,Timaru
TIV,Tivat
TIW,TACOMA NARROWS
TIX,TITUSVILLE/SPACECOAST REGIONAL
TIZ,Tari
TJA,Tarija
TJH,TAJIMA
TJK,TOKAT
TJL,Tr  s Lagoas
TJM,Tyumen
TJN,Takume
TJQ,Tanjung Pandan
TJS,Tanjung Harapan
TJU,Kulob
TKA,TALKEETNA
TKD,Takoradi
TKE,Tenakee
TKF,TRUCKEE-TAHOE
TKG,Bandar Lampung
TKH,NAKHON SAWAN/TAKHLI
TKJ,Tok
TKK,Chuuk
TKN,TOKUNOSHIMA
TKP,Takapoto
TKQ,Kigoma
TKR,THAKURGAON
TKS,Tokushima
TKT,TAK/TAK
TKU,Turku
TKV,Tatakoto
TKX,Takaroa
TLA,Teller
TLC,Mexico City Toluca Airport
TLE,Toliara
TLH,Tallahassee
TLI,Sultan Bantilan
TLJ,Tatalina
TLK,Talakan
TLL,Tallinn
TLM,Tlemcen
TLN,Toulon/Hyeres
TLQ,Turpan Jiaohe
TLS,Toulouse
TLT,Tuluksak
TLU,Golfo de Morrosquillo
TLV,Tel Aviv-Yafo Ben Gurion International
TLX,TALCA/PANGUILEMO
TLY,Plastun
TMB,MIAMI/KENDALL TAMIAMI EXEC ARP
TMC,Tambolaka
TME,Tame
TMF,Thimarafushi
TMH,Tanah Merah
TMI,Tumlingtar
TMJ,Termez
TML,Tamale
TMM,Toamasina
TMN,Tamana
TMO,TUMEREMO
TMP,Tampere
TMR,Tamanrasset
TMS,Sao Tome
TMT,Trombetas
TMU,Tambor
TMW,Tamworth
TMX,TIMIMOUN
TNA,Jinan
TNC,Tin City
TND,TRINIDAD/ALBERTO DELGADO
TNE,NEW TANEGASHIMA
TNF,TOUSSUS/LE NOBLE
TNG,Tangier
TNJ,Tanjung Pinang
TNH,Tonghua Sanyuanpu
TNK,Tununak
TNL,TERNOPIL
TNM,ISLA REY JORGE/TENIENTE R.M.M.
TNN,Tainan
TNO,Tamarindo
TNR,Antananarivo
TNW,Tena
TNZ,Tosontsengel
TOA,TORRANCE/ZAMPERINI FIELD
TOB,Tobruk
TOD,Tioman Island
TOE,Tozeur
TOF,Tomsk
TOG,Togiak
TOH,Torres
TOJ,MADRID/TORREJON
TOL,Toledo Express Apt
TOM,  Tombouctou
TOP,TOPEKA - PHILIP BILLARD MUNI
TOQ,TOCOPILLA/BARRILES
TOS,Tromso
TOU,Touho
TOW,TOLEDO
TOY,Toyama
TPA,Tampa International Apt
TPC,TARAPOA
TPE,Taipei Taiwan Taoyuan International Apt
TPH,TONOPAH
TPI,  Tapini
TPJ,  Taplejung
TPP,Tarapoto
TPQ,Tepic
TPS,Trapani
TQA,Tasiussaq Heliport
TQD,AL TAQADDUM
TQI,Tiniteqilaaq Heliport
TQL,Tarko-Sale
TQO,Tulum
TQP,Trepell
TQQ,Bandar Udara Maranggo
TQR,San Domino Island
TRA,TARAMA
TRC,Torreon
TRD,Trondheim Vaernes Airport
TRE,Tiree
TRF,Oslo Sandefjord-Torp Arpt
TRG,Tauranga
TRH,TURUKHANSK
TRI,Tri-Cities Regional
TRK,Tarakan
TRM,JACQUELINE COCHRAN REGIONAL
TRN,Turin Caselle Airport
TRO,Taree
TRQ,TARAUACA
TRR,TRINCOMALEE / CHINA-BAY
TRS,Trieste
TRT,Toraja
TRU,Trujillo
TRV,Thiruvananthapuram
TRW,Tarawa
TRZ,Tiruchchirappalli
TSA,Taipei Songshan
TSF,Venice Treviso/Sant'Angelo Apt
TSH,Tshikapa
TSJ,Tsushima
TSL,  Tamuin
TSN,Tianjin
TSO,  Tresco
TSR,Timisoara
TSS,  New York
TST,Trang
TSU,Tabiteuea South Airport
TSV,Townsville
TSY,Tasikmalaya
TTA,Tan Tan
TTB,TORTOLI/ARBATAX
TTD,PORTLAND/TROUTDALE
TTE,Ternate
TTG,TARTAGAL/GRAL ENRIQUE MOSCONI
TTH,THUMRAIT
TTJ,Tottori
TTN,Philadelphia Trenton-Mercer Apt
TTQ,Tortuquero
TTR,Tana Toraja
TTT,Taitung
TTU,Tetouan
TUA,Tulcan
TUB,Tubuai
TUC,Tucuman
TUD,TAMBACOUNDA
TUF,Tours Val de Loire Airport
TUG,Tuguegarao
TUI,Turaif
TUK,Turbat
TUL,Tulsa International Apt
TUN,Tunis
TUO,Taupo
TUP,Tupelo
TUR,Tucurui
TUS,Tucson International Apt
TUU,Tabuk
TUV,Tucupita
TUW,  Tubala
TVA,  Morafenobe
TVC,Traverse City
TVF,Thief River Falls
TVL,SOUTH LAKE TAHOE
TVS,Tangshan
TVU,Taveuni Island
TVY,Dawei
TWA,Twin Hills
TWB,Toowoomba
TWC,Tumxuk Tangwangcheng
TWF,Twin Falls
TWT,Tawitawi
TWU,Tawau
TXE,Rembele
TXF,Teixeira de Freitas
TXG,TAICHUNG-CHING CHUAN KANG
TXK,Texarkana
TXL,Berlin Tegel Apt
TXN,Huangshan
TYF,Torsby
TYD,Tynda
TYL,TALARA/CAPITAN MONTES
TYN,Taiyuan
TYR,Tyler
TYS,Knoxville
TZA,Belize City Municipal Apt
TZL,Tuzla
TZN,  South Andros
TZX,Trabzon
UAB,ADANA/INCIRLIK
UAH,Ua Huka
UAI,SUAI
UAK,Narsarsuaq
UAM,GUAM/ANDERSON AFB
UAP,Ua Pou
UAR,Bouarfa
UAQ,San Juan
UAS,Samburu
UBA,Uberaba
UBB,  Mabuiag Island
UBJ,Ube
UBN,Ulaanbaatar New
UBP,Ubon Ratchathani
UCA,UTICA / ONEIDA COUNTY
UCB,Ulanqab Jining
UCT,Ukhta
UDE,UDEN/VOLKEL
UDG,DARLINGTON COUNTY JETPORT
UDI,Uberlandia
UDJ,Uzhhorod
UDN,UDINE RIVOLTO MIL
UDR,Udaipur
UEL,Quelimane
UEO,Kume Jima
UET,Quetta
UFA,Ufa
UGB,Pilot Point Ugashik Bay Apt
UGC,Urgench
UGI,Uganik
UHE,KUNOVICE
UHK,SOVIETSKAYA GAVAN/KAMIENNY R.
UIB,Quibdo
UIH,Quinhon
UII,Utila
UIK,UST-ILIMSK
UIL,QUILLAYUTE
UIN,Quincy
UIO,Quito
UIP,Quimper
UIR,QUIRINDI
UIT,XXX
UJE,XXX
UKA,Ukunda
UKB,Osaka Kobe Airport
UKG,Ust-Kuyga
UKH,Mukhaizna
UKI,UKIAH MUNI
UKK,Ust-Kamenogorsk
UKS,Sevastopol
UKX,Ust-Kut
ULA,SAN JULIAN/CPT D.J.D.VAZQUEZ
ULB,Ulei
ULD,Ulundi
ULG,Olgii
ULH,Al Ula
ULK,Lensk
ULN,Ulaanbaatar
ULO,Ulaangom
ULP,Quilpie
ULS,ULYSSES
ULU,GULU
ULV,Ulyanovsk
ULX,Ulusaba
ULY,ULYANOVSK VOSTOCHNY
ULZ,Uliastai
UMB,Kalumbila
UMD,Uummannaq
UME,Umea
UMK,KUBINKA
UMR,WOOMERA
UMU,UMUARAMA
UMY,  Sumy
UNA,  Una
UND,Kunduz
UNG,Kiunga
UNI,UNION ISLAND
UNK,Unalakleet
UNN,Ranong
UOL,Pogogul
UPB,Havana
UPG,Makassar
UPK,Upernavik Kujalleq Heliport
UPN,Uruapan
URA,Uralsk
URB,CASTILHO/URUBUPUNGA
URC,Urumqi
URE,Kuressaare
URG,Uruguaiana
URJ,URAY
URO,ROUEN/VALLEE DE SEINE
URS,KURSK VOSTOCHNY
URT,Surat Thani
URY,Gurayat
USA,Concord
USH,Ushuaia
USJ,Usharal
USK,Usinsk
USM,Ko Samui
USN,Ulsan
USQ,USAK
USR,Ust-Nera
UST,St Augustine
USU,Busuanga
UTC,UTRECHT/SOESTERBERG
UTH,Udon Thani
UTI,UTTI
UTK,XXX
UTM,  Tunica
UTN,Upington
UTP,U-Tapao
UTR,UTTARADIT
UTS,Ust-Tsilma
UTT,Umtata
UTW,QUEENSTOWN
UTZ,UST-TSILMA
UUA,Bugulma
UUD,Ulan-Ude
UUS,Yuzhno-Sakhalinsk
UUW,ULAN-UDE EAST
UVE,Ouvea
UVF,St Lucia Hewanorra Apt
UVI,Uniao da Vitoria
UVL,EL KHARGA
UXX,MARY NORTH
UYL,Nyala
UYN,Yulin
UYU,Uyuni
UZU,CURUZU CUATIA
VAA,Vaasa
VAF,VALENCE/CHABEUIL
VAG,Varginha
VAI,Vanimo
VAK,Chevak
VAL,Valenca
VAM,Maamingili
VAN,Van
VAO,Suavanao
VAR,Varna
VAS,Sivas
VAV,VAVA U
VAW,Vardo
VBA,ANN
VBG,LOMPOC/VANDENBERG AFB
VBM,Blue Mountain
VBP,Bokpyin
VBS,BRESCIA/MONTICHIARI
VBV,Vanuabalavu Island
VBY,Visby
VCA,Cantho
VCE,Venice Marco Polo Apt
VCL,Tamky
VCP,Sao Paulo Viracopos Apt
VCR,CARORA
VCS,Con Dao
VCT,Victoria
VCV,VICTORVILLE
VDA,Ovda
VDB,Fagernes
VDC,Vitoria da Conquista
VDE,Valverde
VDF,TAMPA/VANDENBERG
VDH,Dong Hoi
VDI,Vidalia
VDM,Viedma
VDO,Van Don
VDP,VALLE DE LA PASCUA
VDS,Vadso
VDY,Vidyanagar
VDZ,Valdez
VEE,Venetie
VEL,Vernal
VER,Veracruz
VEY,VESTMANNAEYJAR
VFA,Victoria Falls
VGA,Vijayawada
VGD,VOLOGDA
VGO,Vigo
VGT,NORTH LAS VEGAS
VGZ,Villa Garzon
VHC,Saurimo
VHM,Vilhelmina
VHY,VICHY/CHARMEIL
VHZ,Vahitahi
VIC,VICENZA
VIE,Vienna
VIG,El Vigia
VII,Vinh City
VIJ,Virgin Gorda
VIK,Kavik
VIL,Dakhla
VIN,Vinnytsia
VIS,Visalia
VIT,Vitoria
VIX,Vitoria
VJB,Xai-Xai Chongoene
VKG,Rachgia
VKO,Moscow Vnukovo International Apt
VKT,Vorkuta
VLC,Valencia
VLD,Valdosta Regional Apt
VLG,Villa Gesell
VLI,Port Vila
VLL,Valladolid
VLM,VILLAMONTES/TCNL. RAFAEL PABON
VLN,Valencia
VLQ,TULUA - FARFAN
VLR,VALLENAR
VLS,Valesdir
VLV,Valera
VLY,Anglesey
VME,Villa Mercedes
VMU,  Baimuru
VNE,VANNES/MEUCON
VNO,Vilnius
VNS,Varanasi
VNT,Ventspils
VNX,Vilankulos
VNY,VAN NUYS AIRPORT
VOG,Volgograd
VOK,CAMP DOUGLAS/VOLK FLD
VOL,NEA ANCHIALOS
VOT,VOTUPORANGA
VOZ,Voronezh
VPE,Ondjiva
VPG,Vipingo
VPN,  Vopnafj r ur
VPS,Valparaiso Fort Walton Beach Apt
VPY,Chimoio
VQQ,JACKSONVILLE CECIL FLD
VQS,Vieques
VRA,Varadero Juan Gualberto Gomez Apt
VRB,VERO BEACH MUNI
VRC,Virac
VRK,Varkaus
VRN,Verona Villafranca Airport
VRU,VRYBURG
VRY,  V r y
VSA,Villahermosa
VSE,VISEU
VSG,Luhansk
VST,Stockholm Vasteras Apt
VTB,VITEBSK
VTE,Vientiane
VTG,VUNGTAU
VTN,VALENTINE / MILLER FIELD
VTU,LAS TUNAS
VTZ,Vishakhapatnam
VUJ,ALBEMARLE / STANLEY COUNTY
VUP,Valledupar
VUS,Veliky Ustyug
VVC,Villavicencio
VVI,Santa Cruz Viru Viru International Apt
VVO,Vladivostok
VVZ,Illizi
VXC,Lichinga
VXE,Sao Vicente Island
VXO,Vaxjo
VYS,PERU
WAA,Wales
WAE,Wadi al Dawaser
WAG,Wanganui
WAI,  Antsohihy
WAL,WALLOPS FLIGHT FACILITY NASA
WAM,  Ambatondrazaka
WAQ,  Antsalova
WAT,Waterford
WAW,Warsaw
WAX,ZWARA
WBB,Stebbins
WBG,SCHLESWIG
WBM,Wapenamanda
WBQ,Beaver
WCA,CASTRO/GAMBOA
WCH,CHAITEN
WDB,PRETORIA/WONDERBOOM
WDH,Windhoek Hosea Kutako International
WDR,WINDER-BARROW AIRPORT
WDS,Shiyan Wudangshan
WEF,Weifang
WEH,Weihai
WEI,Weipa
WFD,MANCHESTER WOODFORD
WFI,  Fianarantsoa
WFK,FRENCHVILLE NORT.AROOSTOOK REG
WGA,Wagga Wagga
WGC,WARANGAL
WGE,WALGETT
WGN,Shaoyang Wugang
WGP,Waingapu
WGT,WANGARATA
WHA,Wuhu
WHF,WADI HALFA
WHK,Whakatane
WIC,Wick
WIE,WIESBADEN - ERBENHEIM
WIL,Nairobi Wilson Apt
WIN,Winton
WJA,Woja
WJF,LANCASTER
WJR,Wajir
WJU,Won-ju
WKA,  Wanaka
WKB,WARRACKNABEAL
WKF,WATERKLOOF
WKJ,Wakkanai
WKK,Aleknagik
WLE,Miles
WLG,Wellington
WLH,Walaha
WLK,Selawik
WLP,West Angelas
WLS,Wallis Island
WMB,WARRNAMBOOL
WMC,WINNEMUCCA
WME,MT. KEITH
WMI,Nowy Dwor Mazowiecki
WMN,Maroantsetra
WMO,White Mountain
WMR,Mananara Avaratra
WMT,Zunyi Maotai
WMX,Wamena
WNA,Napakiak
WNH,Wenshan
WNN,Wunnummin Lake
WNP,Naga
WNR,Windorah
WNS,NAWABSHAH
WNZ,Wenzhou
WOE,WOENSDRECHT AB
WOL,WOLLONGONG
WOT,Wang-an
WPA,PUERTO AYSEN/CABO1 JUAN ROMAN
WPC,PINCHER CREEK
WPM,  Wipim
WPR,PORVENIR/CAPITAN FUENTES MART.
WPU,PUERTO WILLIAMS/GUARD.ZANARTU
WRB,MACON/ROBINS AFB
WRE,Whangarei
WRG,Wrangell
WRI,MC GUIRE AFB
WRL,Worland
WRO,Wroclaw
WRY,Westray
WRZ,Weerawila
WSK,Chongqing Wushan
WSN,South Naknek
WST,  Westerly
WSX,Westsound
WSZ,Westport
WTB,Brisbane West Wellcamp
WTD,WEST END
WTE,XXX
WTK,Noatak
WTL,Tuntutuliak
WTN,WADDINGTON
WTO,XXX
WTP,  Woitape
WTS,  Tsiroanomandidy
WUA,Wuhai
WUH,Wuhan
WUN,WILUNA
WUS,Wuyishan
WUT,Xinzhou Wutaishan
WUU,WAU
WUX,Wuxi
WUZ,Wuzhou
WVB,Walvis Bay
WWI,Woodie Woodie
WWK,Wewak
WWP,Whale Pass
WWT,Newtok
WWY,WEST WYALONG
WXN,Wanzhou
WYA,Whyalla
WYN,WYNDHAM
WYS,WEST YELLOWSTONE
WZA,Wa
XAC,ARCACHON LA TESTE DE BUCH
XAI,Xinyang Minggang
XAP,Chapeco
XAS,ALES/DEAUX
XBE,Bearskin Lake
XBJ,Birjand
XBQ,BLOIS/LE BREUIL
XCB,CAMBRAI/EPINOY
XCD,CHALON/CHAMPFORGEUIL
XCH,Christmas Island
XCR,Paris Chalons-Vatry Airport
XCZ,CHARLEVILLE/MEZIERES
XDB,XXX
XDS,Ottawa Rail CA
XEQ,Tasiuasaq
XFA,Lille Rail Stn
XFN,Xiangyang
XFV,BRANTFORD
XFW,Hamburg Finkenwerder
XGG,GOROM GOROM
XGR,Kangiqsualujjuaq
XHK,Valence Rail FR
XIC,Xichang
XIL,Xilinhot
XIQ,Ilimanaq
XIY,Xi'an Xianyang Apt
XIZ,Reims Rail Stn
XJD,AL UDAID AIR BASE
XKH,Phonsavan
XKS,Kasabonika
XLB,LAC BROCHET
XLS,SAINT LOUIS
XLW,LEMWERDER
XMF,MONTBELIARD/COURCELLES
XMH,Manihi
XMN,Xiamen
XMR,CAPE CANAVERAL/AFS
XMS,Macas
XMU,MOULINS/MONTBEUGNY
XMY,  Yam Island
XNA,Fayetteville Northwest Arkansas Reg Apt
XNH,Ali Air Base
XNN,Xining
XNT,Xingtai Dalian
XNV,NEVATIM AB
XOG,ORANGE
XOP,Poitiers Rail (FR)
XOZ,Doha Free Zone
XPG,Paris-Gare du Nord Rail Stn FR
XPJ,XXX
XPK,PUKATAWAGAN
XPL,Comayagua
XPP,POPLAR RIVER
XQC,BALAD SOUTHEAST AIRFIELD
XQP,Quepos
XQU,  Qualicum Beach
XRF,XXX
XRY,Jerez
XSB,Sir Bani Yas Island
XSC,South Caicos
XSH,Tours Rail FR
XSI,SOUTH INDIAN LAKE
XSP,SINGAPORE/SELETAR
XSU,SAUMUR/ST. FLORENT
XTG,Thargomindah
XTL,TADOULE LAKE
XTO,Taroom
XTV,TIKRIT/AL SAHRA AAF
XUZ,Xuzhou
XVN,VERDUN/LE ROZELIER
XVW,WOLVERHAMPTON
XWA,Williston
XWG,Strasbourg Rail Stn
XXO,TITUSVILLE/NASA SHUTTLE LDGFAC
XXX,SIOUX NARROWS
XYA,  Yandina
XYD,XXX
XYT,TOULOUSE MONTAUDRAN
XZI,Metz TGV Station
XZN,XXX
XZV,Toulon TGV Station FR
YAA,Anahim Lake
YAB,Arctic Bay
YAC,Cat Lake
YAD,KATTINIQ/DONALDSON
YAG,Fort Frances
YAH,LA GRANDE 3
YAI,CHILLAN/BERNARDO OHIGGINS
YAJ,  Lyall Harbour
YAK,Yakutat
YAM,Sault Ste Marie
YAO,YAOUNDE
YAP,Yap
YAT,Attawapiskat
YAV,Miner's Bay
YAW,HALIFAX SHEARWATER
YAX,Angling Lake
YAY,St Anthony
YAZ,TOFINO
YBB,Pelly Bay
YBC,Baie Comeau
YBE,URANIUM CITY
YBF,BONNYVILLE
YBG,Bagotville
YBI,  Black Tickle
YBK,Baker Lake
YBL,Campbell River Municipal Apt
YBP,Yibin
YBR,Brandon
YBT,BROCHET
YBV,BERENS RIVER
YBW,  Bedwell Harbor
YBX,Blanc Sablon
YCB,Cambridge Bay
YCC,CORNWALL REGIONAL
YCD,Nanaimo Cassidy Apt
YCE,CENTRALIA/HURON AIRPARK
YCG,Castlegar
YCH,MIRAMICHI
YCK,Colville Lake
YCL,Charlo
YCN,COCHRANE
YCO,Kugluktuk Coppermine
YCR,CROSS LAKE
YCS,Chesterfield Inlet
YCU,Yuncheng
YCW,CHILLIWACK
YCY,Clyde River
YDA,DAWSON CITY
YDB,BURWASH
YDF,Deer Lake
YDL,DEASE LAKE
